Title, Image, Link, Price, Reviews, Stars
"Apple EarPods with 3.5mm Headphone Plug  ","https://m.media-amazon.com/images/I/31eJeKZrXQS._AC_UL320_.jpg","https://amazon.com.au/Apple-Original-EarPods-Remote-Mic/dp/B075J6J5C1/ref=sr_1_1?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-1","$29.00","42","4.5 out of 5 stars"
"Panasonic RP-HJE120-PPK In-Ear Headphone, Black  ","https://m.media-amazon.com/images/I/617O4vOhUSL._AC_UL320_.jpg","https://amazon.com.au/Panasonic-RP-HJE120-PPK-in-Ear-Headphone-Black/dp/B003EM8008/ref=sr_1_2?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-2","$13.49","34,864","4.3 out of 5 stars"
"Apple EarPods with Lightning Connector  ","https://m.media-amazon.com/images/I/41GwLXE15GL._AC_UL320_.jpg","https://amazon.com.au/Apple-EarPods-Lightning-Connector-MMTN2FE/dp/B01LXHCKBB/ref=sr_1_3?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-3","$29.00","42","4.4 out of 5 stars"
"Sony E9LP In-ear Headphones, Black  ","https://m.media-amazon.com/images/I/61a16eAO+XL._AC_UL320_.jpg","https://amazon.com.au/Sony-MDR-E9LP-Ear-Headphones-Black/dp/B00ZPK3JFI/ref=sr_1_4?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-4","$8.00$14.95","1,651","4.2 out of 5 stars"
"Black Shark Wireless Earbuds Bluetooth Earbuds with 55ms Ultra-low Latency, Gaming Earbuds with Bluetooth 5.2, Dual Modes, 10mm Driver, 35H Play Time, IPX4 Waterproof, Built-in Mic, for Home & Office - Lucifer T1  ","https://m.media-amazon.com/images/I/61RW3L1+KEL._AC_UL320_.jpg","https://amazon.com.au/Black-Shark-Bluetooth-Ultra-low-Waterproof/dp/B09BN9WBTQ/ref=sr_1_5?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-5","$39.99","170","4.1 out of 5 stars"
"New Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Beats Red  ","https://m.media-amazon.com/images/I/51utxdpV8cS._AC_UL320_.jpg","https://amazon.com.au/Beats-Studio-Cancelling-Earbuds-Built-Bluetooth-Headphones/dp/B09B9P9KCD/ref=sr_1_6?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-6","$175.00$199.95","26","4.0 out of 5 stars"
"SoundPEATS True Wireless Bluetooth Earbuds in-Ear Stereo Bluetooth Headphones Wireless Earphones (Bluetooth 5.0, Built-in Mic, Stereo Calls, Total 35 Hours Playtime)  ","https://m.media-amazon.com/images/I/61JH5bAlkHL._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Wireless-Bluetooth-Headphones-Earphones/dp/B07N77M5XV/ref=sr_1_7?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-7","$39.99$49.99","2,598","4.4 out of 5 stars"
"Ururtm Sleeping Headphones Earphones, Soft Comfortable Silicone Noise Isolating Earbuds with Mic Earplugs for Nighttime, Insomnia, Travel, Sport, Meditation & Relaxation (White)  ","https://m.media-amazon.com/images/I/51tjN94uXeL._AC_UL320_.jpg","https://amazon.com.au/Ururtm-Headphones-Comfortable-Meditation-Relaxation/dp/B07J6RW824/ref=sr_1_8?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-8","$11.58","338","3.9 out of 5 stars"
"Uunique London Berkeley Stereo Earphone - Black  ","https://m.media-amazon.com/images/I/51obBqtJ4yL._AC_UL320_.jpg","https://amazon.com.au/Uunique-London-Berkeley-Stereo-Earphone/dp/B06X9KSDVY/ref=sr_1_9?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-9","$25.65","1","4.0 out of 5 stars"
"1MORE Piston Fit In Ear Headphones, Noise Isolation, Balance Sound, Phone Control With Button, 3.5mm Wired Earphones With Mic, Earphone For Smartphone/Tablet/PC/Kids  ","https://m.media-amazon.com/images/I/514UQ1ZBNTL._AC_UL320_.jpg","https://amazon.com.au/1MORE-Headphones-Eardphones-Isolation-Smartphones/dp/B0826VMPC8/ref=sr_1_10?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641479789&sprefix=%2Caps%2C708&sr=8-10","$14.99$16.99","166","4.4 out of 5 stars"
