Title, Image, Link, Price, Reviews, Stars
"Panasonic RP-HJE120-PPK In-Ear Headphone, Black  ","https://m.media-amazon.com/images/I/617O4vOhUSL._AC_UL320_.jpg","https://amazon.com.au/Panasonic-RP-HJE120-PPK-in-Ear-Headphone-Black/dp/B003EM8008/ref=sr_1_1?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-1","$,1,3,.,4,9","34,864","4.3 out of 5 stars"
"SOUNDPEATS TrueAir2 Wireless Earbuds Bluetooth V5.2 Headphones Wireless Earphones with Qualcomm QCC3040, TrueWireless Mirroring, 4 Mic for Clear Calls and cVc 8.0 Noise Cancellation, aptX Codec, Total 25 Hours  ","https://m.media-amazon.com/images/I/613rl4IgthL._AC_UL320_.jpg","https://amazon.com.au/SOUNDPEATS-Bluetooth-Headphones-TrueWireless-Cancellation/dp/B08JGZQCM1/ref=sr_1_2?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-2","$,4,7,.,9,9,$,5,1,.,9,9","2,997","4.1 out of 5 stars"
"Apple EarPods with 3.5mm Headphone Plug  ","https://m.media-amazon.com/images/I/31eJeKZrXQS._AC_UL320_.jpg","https://amazon.com.au/Apple-Original-EarPods-Remote-Mic/dp/B075J6J5C1/ref=sr_1_3?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-3","$,2,9,.,0,0","42","4.5 out of 5 stars"
"1MORE Piston Fit In Ear Headphones, Noise Isolation, Balance Sound, Phone Control With Button, 3.5mm Wired Earphones With Mic, Earphone For Smartphone/Tablet/PC/Kids  ","https://m.media-amazon.com/images/I/514UQ1ZBNTL._AC_UL320_.jpg","https://amazon.com.au/1MORE-Headphones-Eardphones-Isolation-Smartphones/dp/B0826VMPC8/ref=sr_1_4?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-4","$,1,4,.,9,9,$,1,6,.,9,9","166","4.4 out of 5 stars"
"Sony E9LP In-ear Headphones, Black  ","https://m.media-amazon.com/images/I/61a16eAO+XL._AC_UL320_.jpg","https://amazon.com.au/Sony-MDR-E9LP-Ear-Headphones-Black/dp/B00ZPK3JFI/ref=sr_1_5?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-5","$,8,.,0,0,$,1,4,.,9,5","1,651","4.2 out of 5 stars"
"Apple EarPods with Lightning Connector  ","https://m.media-amazon.com/images/I/41GwLXE15GL._AC_UL320_.jpg","https://amazon.com.au/Apple-EarPods-Lightning-Connector-MMTN2FE/dp/B01LXHCKBB/ref=sr_1_6?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-6","$,2,9,.,0,0","42","4.4 out of 5 stars"
"SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ","https://m.media-amazon.com/images/I/61p6od98YQL._AC_UL320_.jpg","https://amazon.com.au/SoundPEATS-Air3-aptX-Adaptive-Cancellation-TrueWireless/dp/B09BZKNBY7/ref=sr_1_7?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-7","$,5,8,.,9,9","671","4.4 out of 5 stars"
"Sony In-Ear Lightweight Headphones with Smartphone Control and Microphone, Black  ","https://m.media-amazon.com/images/I/51JDFsxAVXL._AC_UL320_.jpg","https://amazon.com.au/Sony-MDR-EX15APBZE-in-Ear-Headphones-Black/dp/B00ILAA0QU/ref=sr_1_8?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-8","$,1,7,.,9,7,$,2,9,.,9,5","2,876","4.0 out of 5 stars"
"TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black  ","https://m.media-amazon.com/images/I/71gtHnQGfQL._AC_UL320_.jpg","https://amazon.com.au/TOZO-True-Wireless-Headphones-Stereo/dp/B07RGZ5NKS/ref=sr_1_9?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-9","$,4,9,.,9,9,$,5,9,.,9,8","103,624","4.4 out of 5 stars"
"Samsung Galaxy Buds Live - Black  ","https://m.media-amazon.com/images/I/71UQpNAPDfL._AC_UL320_.jpg","https://amazon.com.au/Samsung-Galaxy-Buds-Live-cancellation/dp/B08DJR6LGV/ref=sr_1_10?crid=3SWH9F531HPAZ&keywords=earphones&qid=1641481234&sprefix=%2Caps%2C708&sr=8-10","$,1,3,5,.,0,0,$,3,1,9,.,0,0","86","4.3 out of 5 stars"
